iter	RMSE
0	6.84889667
1	5.894369907
2	5.461480996
3	5.167823071
4	4.908142229
5	4.756959489
6	4.586371662
7	4.501895263
8	4.346830634
9	4.305200491
10	4.25785297
11	4.1765514
12	4.114899722
13	4.079556137
14	4.032247809
15	3.994437801
16	3.952117466
17	3.930688909
18	3.896200311
19	3.857805747
20	3.83753948
21	3.819932867
22	3.80350757
23	3.764261274
24	3.729397148
25	3.718554689
26	3.668205083
27	3.660228829
28	3.65468612
29	3.643614859
30	3.635749775
31	3.624138827
32	3.59354289
33	3.58169482
34	3.569788667
35	3.562608279
36	3.523413071
37	3.493793342
38	3.473948659
39	3.463107277
40	3.43294872
41	3.416344985
42	3.408961953
43	3.401771441
44	3.383145001
45	3.373503817
46	3.370253144
47	3.362001809
48	3.355534214
49	3.344434867
50	3.332331567
51	3.325941926
52	3.323254529
53	3.314591865
54	3.298592014
55	3.295331509
56	3.286105051
57	3.280165469
58	3.262813521
59	3.253449888
60	3.24612046
61	3.242764333
62	3.230568001
63	3.222584629
64	3.216632629
65	3.212368232
66	3.209016454
67	3.205709866
68	3.192146726
69	3.185821749
70	3.182241724
71	3.156930168
72	3.147516209
73	3.144270993
74	3.141467146
75	3.133719818
76	3.126002247
77	3.122321773
78	3.116687986
79	3.113119542
80	3.109715156
81	3.106166988
82	3.102291805
83	3.096741392
84	3.092191857
85	3.087684541
86	3.083706304
87	3.081242042
88	3.074562006
89	3.07056611
90	3.069707888
91	3.068358051
92	3.064995268
93	3.062666841
94	3.059729741
95	3.051775088
96	3.049519173
97	3.03645529
98	3.030388209
99	3.028114705
