iter	Passed	Remaining
0	15	1522
1	28	1392
2	39	1275
3	49	1188
4	59	1123
5	68	1080
6	78	1046
7	88	1018
8	97	989
9	106	957
10	116	944
11	125	919
12	135	907
13	146	900
14	155	883
15	165	866
16	173	849
17	183	835
18	193	825
19	203	815
20	213	803
21	223	791
22	232	778
23	242	769
24	252	757
25	262	746
26	271	734
27	281	722
28	290	712
29	300	700
30	309	689
31	318	677
32	329	668
33	339	658
34	348	647
35	358	636
36	367	625
37	377	615
38	387	605
39	396	595
40	408	588
41	420	580
42	431	572
43	442	563
44	452	553
45	462	542
46	471	531
47	481	521
48	491	511
49	501	501
50	511	491
51	521	481
52	531	471
53	542	461
54	552	451
55	561	441
56	571	430
57	580	420
58	591	410
59	602	401
60	611	390
61	621	380
62	631	370
63	641	360
64	649	349
65	658	339
66	667	328
67	676	318
68	685	307
69	694	297
70	704	287
71	714	278
72	724	267
73	750	263
74	766	255
75	777	245
76	788	235
77	798	225
78	807	214
79	816	204
80	826	193
81	838	184
82	851	174
83	862	164
84	872	153
85	881	143
86	890	133
87	900	122
88	909	112
89	919	102
90	928	91
91	938	81
92	948	71
93	958	61
94	969	51
95	980	40
96	990	30
97	1002	20
98	1013	10
99	1021	0
